sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,0.6,0.31,0.38,0.47,0.58,0.63,0.7,0.68,0.75,0.81,0.71,0.68
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,0.83,0.88,0.56,0.58,0.62,0.56,0.52,0.42,0.54,0.29,0.42,0.34
3,台北市政府,信義區,121.5651694,25.03779722,0.47,0.42,0.71,0.5,0.61,0.18,0.34,0.58,0.68,0.77,0.72,0.74
4,市民廣場,信義區,121.562325,25.03603611,0.28,0.32,0.6,0.57,0.57,0.53,0.5,0.5,0.5,0.75,0.75,0.6
5,興雅國中,信義區,121.5686639,25.03656389,0.36,0.27,0.44,0.27,0.53,0.32,0.14,0.38,0.4,0.35,0.42,0.23
6,臺北南山廣場,信義區,121.565973,25.034047,0.44,0.54,0.72,0.88,0.91,0.9,0.97,0.79,0.84,0.93,0.79,0.75
7,信義廣場(台北101),信義區,121.5656194,25.03303889,0.49,0.24,0.51,0.3,0.68,0.68,0.64,0.74,0.57,0.46,0.42,0.68
8,世貿三館,信義區,121.5636889,25.03521389,0.27,0.37,0.46,0.56,0.49,0.49,0.54,0.66,0.64,0.56,0.53,0.46
9,松德站,信義區,121.57448,25.031785,0.57,0.53,0.75,0.62,0.55,0.53,0.47,0.53,0.4,0.35,0.53,0.17
10,台北市災害應變中心,信義區,121.5661167,25.02866111,0.75,0.62,0.49,0.55,0.62,0.57,0.28,0.32,0.38,0.38,0.6,0.25
11,三張犁,信義區,121.55762,25.034937,0.72,0.23,0.03,0.03,0.05,0.08,0.12,0.03,0.17,0.26,0.23,0.23
12,臺北醫學大學,信義區,121.561747,25.026679,0.11,0.91,0.56,0.45,0.4,0.32,0.23,0.15,0.34,0.32,0,0.06
13,福德公園,信義區,121.58367,25.03809,0.6,0.45,0.16,0.34,0.41,0.41,0.4,0.33,0.26,0.24,0.26,0.33
14,榮星花園,中山區,121.54037,25.06424,0.38,0.78,0.56,0.28,0.03,0.09,0.12,0.06,0,0,0.16,0.16
15,饒河夜市,松山區,121.571885,25.049845,0.7,0.55,0.43,0.33,0.2,0.13,0.12,0.08,0.38,0.45,0.45,0.3
16,松山家商,信義區,121.579135,25.036084,0.54,0.65,0.58,0.58,0.4,0.29,0.15,0.06,0.25,0,0.12,0.1
17,民生光復路口,松山區,121.55514,25.05862,0.06,0.26,0.79,0.53,0.59,0.38,0.12,0.41,0.53,0.35,0.09,0.24
18,臺北市藝文推廣處,松山區,121.552278,25.048268,0.46,0.49,0.28,0.46,0.27,0.32,0.16,0.08,0.05,0.08,0.18,0.37
19,象山公園,信義區,121.56981,25.02863,0.79,0.14,0.62,0.62,0.93,0.55,0.34,0.63,0.73,0.97,0.83,0.1
20,捷運科技大樓站,大安區,121.543293,25.025896,0.74,0.71,0.06,0.09,0,0.31,0.26,0.04,0.39,0.34,0.34,0.01
21,民生敦化路口,松山區,121.548982,25.057985,0.17,0.47,0.58,0.69,0.89,0.75,0.78,0.73,0.56,0.75,0.73,0.56
22,松山車站,信義區,121.57845,25.048824,0.61,0.57,0.5,0.59,0.64,0.57,0.64,0.66,0.32,0.16,0.3,0.02
23,東新國小,南港區,121.602798,25.055074,0.53,0.69,0.53,0.34,0.34,0.25,0.19,0.12,0.09,0.09,0.09,0.03
24,信義建國路口,大安區,121.53747,25.03293,0.33,0.17,0.02,0,0.11,0.46,0.2,0.41,0.28,0.26,0.04,0.04
25,永吉松信路口,信義區,121.57205,25.04543,0.77,0.43,0.7,0.5,0.73,0.83,0.63,0.67,0.63,0.7,0.3,0.03
26,捷運昆陽站(1號出口),南港區,121.592375,25.050142,0.38,0.6,0.43,0.24,0.29,0.31,0.37,0.63,0.37,0.64,0.45,0.24
27,捷運南港展覽館站(5號出口),南港區,121.61669,25.05469,0.07,0.52,0.02,0.1,0.24,0.52,0.37,0.6,0.64,0.71,0.38,0.36
28,五常公園,信義區,121.57467,25.04814,0.29,0.72,0.28,0.84,0.71,0.71,0.87,0.48,0.52,0.45,0.55,0.41
29,金山愛國路口,大安區,121.52655,25.03164,0.24,0.59,0.96,0.69,0.65,0.57,0.54,0.48,0.72,0.7,0.61,0.28
30,基隆長興路口,大安區,121.544352,25.017054,0.68,0.57,0.51,0.23,0.22,0.32,0.28,0.38,0.36,0.41,0.15,0
31,辛亥新生路口,大安區,121.53456,25.022413,0.23,0.03,0.23,0.03,0.57,0.8,0.59,0.45,0.37,0.2,0.6,0.83
32,捷運六張犁站,大安區,121.553161,25.023884,0.45,0.68,0,0.18,0,0.24,0.26,0.51,0.27,0.32,0.08,0.13
33,中崙高中,松山區,121.56087,25.04878,0.37,0.5,0.83,0.7,0.74,0.65,0.67,0.78,0.85,0.7,0.33,0.3
34,捷運行天宮站(1號出口),中山區,121.532934,25.058369,0.75,0.38,0.16,0.53,0.52,0.52,0.13,0.9,0.77,0.68,0.29,0.55
35,捷運行天宮站(3號出口),中山區,121.533302,25.059978,0.7,0.83,0.57,0.57,0.1,0.37,0.33,0.87,0.6,0.7,0.23,0.23
36,臺大資訊大樓,大安區,121.54153,25.02101,0.21,0.22,0.53,0.19,0.31,0.57,0.38,0.69,0.69,0.85,0.39,0.64
37,捷運東門站(4號出口),大安區,121.528988,25.0337,0.51,0.38,0.2,0.25,0.18,0.07,0.02,0.02,0.04,0.2,0.2,0.2
38,臺灣師範大學(圖書館),大安區,121.52889,25.02665,0.21,0.41,0.44,0.38,0.35,0.71,0.97,0.32,0.3,0.12,0.03,0.44
39,南港世貿公園,南港區,121.61422,25.058,0.31,0.15,0.42,0.58,0.62,0.35,0.35,0.38,0.5,0.65,0.15,0.52
40,玉成公園,南港區,121.5864,25.04287,0,0,0,0,0,0,0,0,0,0,0,0
41,中研公園,南港區,121.613706,25.047425,0.37,0.53,0.87,0.67,0.63,0.47,0.6,0.63,0.6,0.6,0.9,0.5
