sno,sna,sarea,lng,lat,307,308,309,310,311,312,313,314,315,316,317,318
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,107,56,68,83,103,112,124,121,132,143,125,121
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,40,42,27,28,30,27,25,20,26,14,20,16
3,台北市政府,信義區,121.5651694,25.03779722,18,16,27,19,23,7,13,22,27,30,28,29
4,市民廣場,信義區,121.562325,25.03603611,17,19,36,34,34,32,30,30,30,45,45,36
5,興雅國中,信義區,121.5686639,25.03656389,21,16,26,16,31,19,8,23,24,21,25,14
6,臺北南山廣場,信義區,121.565973,25.034047,34,42,56,69,71,69,75,60,63,71,60,57
7,信義廣場(台北101),信義區,121.5656194,25.03303889,39,19,40,24,53,53,50,58,44,36,33,53
8,世貿三館,信義區,121.5636889,25.03521389,16,22,27,33,29,29,32,39,38,33,31,27
9,松德站,信義區,121.57448,25.031785,23,21,30,25,22,21,19,21,16,14,21,7
10,台北市災害應變中心,信義區,121.5661167,25.02866111,36,30,23,26,29,27,13,15,18,18,29,12
11,三張犁,信義區,121.55762,25.034937,47,15,2,2,3,5,8,2,11,17,15,15
12,臺北醫學大學,信義區,121.561747,25.026679,5,21,25,21,19,15,11,7,16,15,0,3
13,福德公園,信義區,121.58367,25.03809,35,26,9,20,24,24,23,19,15,14,15,19
14,榮星花園,中山區,121.54037,25.06424,12,25,18,9,1,3,4,2,0,0,5,5
15,饒河夜市,松山區,121.571885,25.049845,42,33,26,20,12,8,7,5,23,27,27,18
16,松山家商,信義區,121.579135,25.036084,26,31,28,28,19,14,7,3,12,0,6,5
17,民生光復路口,松山區,121.55514,25.05862,2,9,27,18,20,13,4,14,18,12,3,8
18,臺北市藝文推廣處,松山區,121.552278,25.048268,17,18,10,17,10,12,6,3,2,3,7,14
19,象山公園,信義區,121.56981,25.02863,23,4,18,18,26,16,10,19,22,29,25,3
20,捷運科技大樓站,大安區,121.543293,25.025896,52,50,4,6,0,22,18,3,27,24,24,1
21,民生敦化路口,松山區,121.548982,25.057985,11,30,37,44,57,48,50,47,36,48,48,37
22,松山車站,信義區,121.57845,25.048824,27,25,22,26,28,25,28,29,14,7,13,1
23,東新國小,南港區,121.602798,25.055074,17,22,17,11,11,8,6,4,3,3,3,1
24,信義建國路口,大安區,121.53747,25.03293,15,8,1,0,5,21,9,19,13,12,2,2
