sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,2018/8/4-13,2018/8/4-14,2018/8/4-15,2018/8/4-16,2018/8/4-17,2018/8/4-18,2018/8/4-19,2018/8/4-20,2018/8/4-21,2018/8/4-22,2018/8/4-23,2018/8/4-24,2018/8/5-7,2018/8/5-8,2018/8/5-9,2018/8/5-10,2018/8/5-11,2018/8/5-12,2018/8/5-13,2018/8/5-14,2018/8/5-15,2018/8/5-16,2018/8/5-17,2018/8/5-18,2018/8/5-19,2018/8/5-20,2018/8/5-21,2018/8/5-22,2018/8/5-23,2018/8/5-24,2018/8/6-7,2018/8/6-8,2018/8/6-9,2018/8/6-10,2018/8/6-11,2018/8/6-12,2018/8/6-13,2018/8/6-14,2018/8/6-15,2018/8/6-16,2018/8/6-17,2018/8/6-18,2018/8/6-19,2018/8/6-20,2018/8/6-21,2018/8/6-22,2018/8/6-23,2018/8/6-24,2018/8/7-7,2018/8/7-8,2018/8/7-9,2018/8/7-10,2018/8/7-11,2018/8/7-12,2018/8/7-13,2018/8/7-14,2018/8/7-15,2018/8/7-16,2018/8/7-17,2018/8/7-18,2018/8/7-19,2018/8/7-20,2018/8/7-21,2018/8/7-22,2018/8/7-23,2018/8/7-24
1,捷運市政府站(3號出口),信義區,121.5679044,25.04085789,107,56,68,83,103,112,124,121,132,143,125,121,139,148,132,49,22,2,95,93,93,91,90,104,113,114,115,119,108,156,159,154,145,76,64,35,80,63,61,64,72,78,77,76,90,98,101,108,91,101,130,99,52,35,84,88,117,132,119,167,136,147,148,136,129,135,139,129,123,100,26,10,66,56,59,63,115,115,115,147,155,124,112,103,97,95,97,18,51,22,74,64,33,40,49,57,62,71,99,129,127,131,105,86,29,1,0,0,119,112,107,97,96,101,119,119,109,106,96,101,135,129,135,78,35,19
2,捷運國父紀念館站(2號出口),大安區,121.55742,25.041254,40,42,27,28,30,27,25,20,26,14,20,16,26,17,7,2,2,25,21,4,5,10,20,29,35,23,10,10,15,16,24,16,5,1,0,14,24,23,9,12,22,14,29,27,30,29,31,30,43,27,18,1,12,0,13,18,28,20,24,14,28,41,7,18,21,5,21,10,12,7,2,0,32,20,16,6,26,26,37,38,17,14,2,25,25,17,8,16,4,7,26,14,5,14,16,1,2,6,8,7,11,9,21,23,10,23,3,0,30,26,14,5,16,13,24,33,14,16,14,33,23,9,20,10,24,17
3,台北市政府,信義區,121.5651694,25.03779722,18,16,27,19,23,7,13,22,27,30,28,29,32,30,28,7,0,8,12,40,40,28,27,18,19,32,10,27,26,23,21,27,23,8,0,12,11,29,29,18,13,3,13,28,32,27,29,31,16,29,19,29,12,17,19,21,23,32,14,20,29,29,12,11,9,15,20,22,24,8,9,6,15,8,11,16,20,20,15,16,13,23,20,16,26,32,25,2,21,8,13,11,38,30,36,25,21,20,24,22,24,15,13,32,22,13,6,1,13,16,24,39,22,11,12,25,28,19,34,20,21,11,30,14,17,7
4,市民廣場,信義區,121.562325,25.03603611,17,19,36,34,34,32,30,30,30,45,45,36,24,16,14,14,12,10,19,30,32,40,49,48,39,41,42,44,34,27,25,14,17,17,7,14,19,23,33,41,25,44,39,42,41,43,43,42,38,31,29,27,16,9,8,9,13,20,30,47,46,49,46,43,35,36,40,39,37,43,33,34,33,36,38,37,43,43,44,46,48,50,48,37,34,29,24,12,7,12,27,30,37,36,36,32,33,35,34,36,42,50,33,30,27,23,17,21,13,17,33,31,28,29,33,36,42,39,50,49,25,26,18,16,10,7
5,興雅國中,信義區,121.5686639,25.03656389,21,16,26,16,31,19,8,23,24,21,25,14,24,33,15,16,0,7,21,33,34,21,21,24,14,28,11,12,27,6,30,27,16,8,7,14,23,52,32,9,23,25,9,18,25,17,14,18,36,35,30,42,39,41,13,21,27,41,31,36,33,34,20,26,23,44,46,42,35,43,18,31,13,17,27,33,44,44,31,26,32,40,19,21,19,33,34,16,34,6,16,44,7,21,32,31,6,24,26,20,21,29,26,4,13,22,2,0,28,25,45,16,15,4,10,17,17,16,18,27,12,27,30,34,7,9
6,臺北南山廣場,信義區,121.565973,25.034047,34,42,56,69,71,69,75,60,63,71,60,57,50,27,18,5,1,1,16,39,41,60,65,66,65,69,70,75,69,50,33,29,5,3,3,1,4,8,38,51,53,54,53,59,61,57,53,58,50,52,38,18,5,2,5,8,12,31,34,42,41,49,45,44,46,52,45,43,28,15,7,2,11,12,16,26,46,46,56,54,65,61,41,43,48,41,40,26,17,15,19,19,46,61,65,68,70,70,68,68,70,65,33,8,2,5,1,2,21,25,47,57,64,65,62,66,71,71,72,70,29,20,20,2,2,2
7,信義廣場(台北101),信義區,121.5656194,25.03303889,39,19,40,24,53,53,50,58,44,36,33,53,10,42,32,20,0,1,20,18,21,48,9,15,0,24,38,35,51,2,27,16,19,0,0,0,26,13,37,33,25,25,12,26,56,43,40,47,30,46,38,3,1,0,31,32,30,21,24,28,24,42,63,67,49,49,61,63,64,34,1,12,18,22,11,9,76,76,67,59,59,64,56,54,54,40,9,2,12,9,18,22,51,72,47,26,14,12,29,36,32,45,3,16,1,4,1,11,30,25,50,55,54,55,53,68,54,57,51,28,41,40,23,1,8,0
8,世貿三館,信義區,121.5636889,25.03521389,16,22,27,33,29,29,32,39,38,33,31,27,27,24,32,22,19,10,12,24,25,32,39,49,49,51,55,53,49,31,32,32,24,15,10,4,7,13,11,20,19,30,30,36,30,29,26,24,19,14,9,3,0,7,22,27,18,37,40,49,54,53,51,52,49,49,37,46,46,41,32,28,13,18,21,28,45,45,41,46,48,47,41,35,26,23,17,11,2,15,22,30,35,41,41,46,44,47,46,51,49,42,40,36,26,14,2,1,24,33,40,44,40,41,42,44,45,45,45,38,12,14,8,2,0,12
9,松德站,信義區,121.57448,25.031785,23,21,30,25,22,21,19,21,16,14,21,7,2,2,4,14,19,23,23,25,29,25,29,23,22,26,16,17,4,6,10,14,13,26,28,29,35,28,28,21,27,25,29,20,18,15,18,13,11,8,11,19,9,16,19,25,21,11,4,6,3,1,6,13,13,22,14,7,13,18,27,28,30,31,23,13,1,1,0,18,20,14,13,10,13,14,19,21,24,23,27,30,14,13,9,13,11,23,27,22,9,5,2,7,11,15,21,22,29,26,27,28,23,9,5,6,13,37,38,2,8,14,13,16,24,21
10,台北市災害應變中心,信義區,121.5661167,25.02866111,36,30,23,26,29,27,13,15,18,18,29,12,23,20,18,22,30,25,35,29,31,24,35,30,32,22,29,30,18,20,30,19,28,4,18,22,18,38,22,39,14,22,27,14,20,21,13,13,10,11,19,20,35,31,28,28,31,19,20,9,14,26,23,25,17,21,31,19,17,31,23,30,20,35,34,34,6,6,6,18,12,1,5,13,3,8,14,25,30,47,39,40,37,33,26,27,34,31,25,31,22,28,24,24,23,24,39,35,32,33,29,29,27,33,34,19,22,19,29,13,33,45,26,41,40,36
